State,ClintonCount,TrumpCount,OtherCount,ClintonShare,TrumpShare,OtherShare,D12Margin,D16Margin,Shift,Turnout12,Turnout16,MarginShift
Alabama,"729,547","1,318,255","75,570",34.40%,62.10%,3.60%,-22.20%,-27.70%,-5.50%,"2,074,338","2,123,372",2.40%
Alaska,"116,454","163,387","38,767",36.60%,51.30%,12.20%,-14.00%,-14.70%,-0.70%,"300,495","318,608",6.00%
Arizona,"1,161,167","1,252,401","159,597",45.10%,48.70%,6.20%,-9.10%,-3.50%,5.50%,"2,299,254","2,573,165",11.90%
Arkansas,"380,494","684,872","65,269",33.70%,60.60%,5.80%,-23.70%,-26.90%,-3.20%,"1,069,468","1,130,635",5.70%
California,"8,753,788","4,483,810","943,997",61.70%,31.60%,6.70%,23.10%,30.10%,7.00%,"13,038,547","14,181,595",8.80%
Colorado,"1,338,870","1,202,484","238,866",48.20%,43.30%,8.60%,5.40%,4.90%,-0.50%,"2,569,521","2,780,220",8.20%
Connecticut,"897,572","673,215","74,133",54.60%,40.90%,4.50%,17.30%,13.60%,-3.70%,"1,558,114","1,644,920",5.60%
Delaware,"235,603","185,127","20,860",53.40%,41.90%,4.70%,18.60%,11.40%,-7.20%,"413,890","441,590",6.70%
District of Columbia,"282,830","12,723","15,715",90.90%,4.10%,5.00%,83.60%,86.80%,3.10%,"293,764","311,268",6.00%
Florida,"4,504,975","4,617,886","297,178",47.80%,49.00%,3.20%,0.90%,-1.20%,-2.10%,"8,474,179","9,420,039",11.20%
Georgia,"1,877,963","2,089,104","125,306",45.90%,51.00%,3.10%,-7.80%,-5.20%,2.70%,"3,900,050","4,092,373",4.90%
Hawaii,"266,891","128,847","33,199",62.20%,30.00%,7.70%,42.70%,32.20%,-10.50%,"434,697","428,937",-1.30%
Idaho,"189,765","409,055","91,435",27.50%,59.30%,13.20%,-31.90%,-31.80%,0.10%,"652,274","690,255",5.80%
Illinois,"3,090,729","2,146,015","299,680",55.80%,38.80%,5.40%,16.90%,17.10%,0.20%,"5,242,014","5,536,424",5.60%
Indiana,"1,033,126","1,557,286","144,546",37.80%,56.90%,5.30%,-10.20%,-19.20%,-9.00%,"2,624,534","2,734,958",4.20%
Iowa,"653,669","800,983","111,379",41.70%,51.10%,7.10%,5.80%,-9.40%,-15.20%,"1,582,180","1,566,031",-1.00%
Kansas,"427,005","671,018","86,379",36.10%,56.70%,7.30%,-21.70%,-20.60%,1.10%,"1,159,971","1,184,402",2.10%
Kentucky,"628,854","1,202,971","92,324",32.70%,62.50%,4.80%,-22.70%,-29.80%,-7.10%,"1,797,212","1,924,149",7.10%
Louisiana,"780,154","1,178,638","70,240",38.40%,58.10%,3.50%,-17.20%,-19.60%,-2.40%,"1,994,065","2,029,032",1.80%
Maine,"357,735","335,593","54,599",47.80%,44.90%,7.30%,15.30%,3.00%,-12.30%,"713,180","747,927",4.90%
Maryland,"1,677,928","943,169","160,349",60.30%,33.90%,5.80%,26.10%,26.40%,0.30%,"2,707,327","2,781,446",2.70%
Massachusetts,"1,995,196","1,090,893","238,957",60.00%,32.80%,7.20%,23.10%,27.20%,4.10%,"3,167,767","3,325,046",5.00%
Michigan,"2,268,839","2,279,543","250,902",47.30%,47.50%,5.20%,9.50%,-0.20%,-9.70%,"4,730,961","4,799,284",1.40%
